Estado civil,Modo de aplicacion,Orden de aplicacion,Carrera,Jornada,Nivel educativo previo,Nota educacion previa,Nacionalidad,Educacion madre,Educacion padre,Ocupacion madre,Ocupacion padre,Nota de admisión,Desplazado,Necesidades educativas especiales,Deudor,Pago de matricula al dia,Genero,Becado,Edad de ingreso,Internacional,Creditos homologados 1er semestre,Materias inscritas 1er semestre,Evaluaciones 1er semestre,Materias aprobadas 1er semestre,Promedio 1er semestre,Materias sin evaluacion 1er semestre,Creditos homologados 2do semestre,Materias inscritas 2do semestre,Evaluaciones 2do semestre,Materias aprobadas 2do semestre,Promedio 2do semestre,Materias sin evaluación 2do semestre,Tasa de desempleo,Tasa de inflacion,PIB,Resultado
Soltero,2da fase,5,Multimedia,Diurna,Secundaria,122,Portugués,Básica ciclo 3,Otro 11,Servicios,No calificado,127.3,Sí,No,No,Sí,Hombre,No,20,No,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
Soltero,Internacional,1,Turismo,Diurna,Secundaria,160,Portugués,Secundaria completa,Grado,Técnico,Técnico,142.5,Sí,No,No,No,Hombre,No,19,No,0,6,6,6,14,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate
Soltero,1ra fase general,5,Diseño comunicación,Diurna,Secundaria,122,Portugués,Primaria,Primaria,No calificado,No calificado,124.8,Sí,No,No,No,Hombre,No,19,No,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
Soltero,2da fase,2,Periodismo,Diurna,Secundaria,122,Portugués,Básica ciclo 2,Primaria,Servicios,Técnico,119.6,Sí,No,No,Sí,Mujer,No,20,No,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
Casado,Mayor de 23,1,Trabajo social (noche),Nocturna,Secundaria,100,Portugués,Primaria,Básica ciclo 2,No calificado,No calificado,141.5,No,No,No,Sí,Mujer,No,45,No,0,6,9,5,12.33333333,0,0,6,6,6,13,0,13.9,-0.3,0.79,Graduate
Casado,Mayor de 23,1,Administración (noche),Nocturna,Educación básica,133.1,Portugués,Primaria,Primaria,No calificado,Obrero calificado,114.8,No,No,Sí,Sí,Hombre,No,50,No,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
Soltero,1ra fase general,1,Enfermería,Diurna,Secundaria,142,Portugués,Básica ciclo 3,Básica ciclo 2,Obrero calificado,Fuerzas armadas,128.4,Sí,No,No,Sí,Mujer,Sí,18,No,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
Soltero,3ra fase,4,Turismo,Diurna,Secundaria,119,Portugués,Primaria,Primaria,No calificado,No calificado,113.1,Sí,No,No,No,Hombre,No,22,No,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,Dropout
Soltero,1ra fase general,3,Trabajo social,Diurna,Secundaria,137,Rumano,Secundaria completa,Secundaria completa,No calificado,No calificado,129.3,No,No,No,Sí,Mujer,Sí,21,Sí,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate
Soltero,1ra fase general,1,Trabajo social,Diurna,Secundaria,138,Portugués,Secundaria completa,Básica ciclo 3,Administrativo,Obrero calificado,123,Sí,No,Sí,No,Mujer,No,18,No,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
Soltero,1ra fase general,1,Marketing,Diurna,Secundaria,139,Portugués,Básica ciclo 2,Básica ciclo 3,Servicios,Obrero calificado,130.6,Sí,No,No,Sí,Mujer,No,18,No,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
Soltero,1ra fase general,1,Enfermería,Diurna,Secundaria,136,Portugués,Básica ciclo 3,Básica ciclo 2,No calificado,No calificado,119.3,Sí,No,No,Sí,Mujer,Sí,18,No,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate
Soltero,1ra fase general,2,Educación básica,Diurna,Secundaria,133,Portugués,Básica ciclo 3,Primaria,Administrativo,No calificado,130.2,Sí,No,No,Sí,Mujer,No,19,No,0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
Soltero,Ciclo corto,1,Turismo,Diurna,Técnico,110,Portugués,Secundaria completa,Secundaria completa,Administrativo,Obrero calificado,111.8,Sí,No,No,Sí,Mujer,Sí,21,No,0,6,7,6,10.57142857,0,0,6,8,5,11,0,8.9,1.4,3.51,Graduate
Soltero,1ra fase general,1,Veterinaria,Diurna,Secundaria,149,Portugués,Básica ciclo 2,Primaria,Servicios,Servicios,137.1,Sí,No,No,Sí,Mujer,Sí,18,No,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate
Soltero,1ra fase general,1,Periodismo,Diurna,Secundaria,127,Portugués,Básica ciclo 3,Primaria,No calificado,Técnico,120.7,Sí,No,No,Sí,Mujer,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
Soltero,3ra fase,1,Trabajo social,Diurna,Secundaria,137,Portugués,Básica ciclo 3,Básica ciclo 2,Servicios,Operador maquinaria,137.4,Sí,No,No,Sí,Mujer,No,18,No,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,Enrolled
Soltero,2da fase,2,Enfermería,Diurna,Secundaria,135,Portugués,Básica ciclo 3,Secundaria completa,Servicios,Administrativo,127.3,Sí,No,No,Sí,Mujer,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
Soltero,1ra fase general,1,Equinocultura,Diurna,Secundaria,137,Portugués,Grado,Básica ciclo 3,Técnico,Servicios,136.3,Sí,No,No,Sí,Mujer,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
Soltero,1ra fase general,1,Educación básica,Diurna,Secundaria,140,Portugués,Básica ciclo 3,Básica ciclo 3,Obrero calificado,Obrero calificado,124.6,Sí,No,No,Sí,Mujer,No,18,No,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
